magnitude_R,target_snr,empirical_frame_rate_floor_hz,target_snr_frame_rate_hz,proposed_em_gain,proposed_framerate_hz,empirical_floor_active,target_snr_met,minimum_snr_across_seds,mean_snr_across_seds,maximum_snr_across_seds,max_5sigma_saturation_fraction
5.0,4.5,1931.7474232115758,2067.0,4.253445332229603,2067.0,False,True,4.50000000730757,4.695577509164114,5.056699028707126,0.015009683681401426
5.05,4.5,1928.568258406796,2067.0,4.458859677382861,2067.0,False,True,4.500000007228367,4.695344835439032,5.056022369756619,0.015061361918377562
5.1,4.5,1925.318246412496,2067.0,4.674451416853117,2067.0,False,True,4.500000005622273,4.6951012986290035,5.0553141732893545,0.015115347349623354
5.15,4.5,1921.9959950894163,2067.0,4.900750946864719,2067.0,False,True,4.500000001532845,4.694846395805968,5.0545729858425155,0.015171742798551912
5.2,4.5,1918.6000940019135,2067.0,5.138319014833542,2067.0,False,True,4.500000002465559,4.694579610140173,5.053797298161477,0.015230656095690373
5.25,4.5,1915.1291146457884,2067.0,5.387748715467751,2067.0,False,True,4.500000005500784,4.694300390261331,5.0529855213498305,0.01529220034364619
5.3,4.5,1911.5816107072494,2067.0,5.649667678633705,2067.0,False,True,4.5000000047132485,4.694008156967513,5.052135992291182,0.01535649428530487
5.35,4.5,1907.9561183545093,2067.0,5.924740448986995,2067.0,False,True,4.500000005167594,4.693702316726805,5.051246986268067,0.015423662725508875
5.4,4.5,1904.2511565635455,2067.0,6.21367102250224,2067.0,False,True,4.50000000483873,4.693382241769549,5.050316693720694,0.015493836895996895
5.45,4.5,1900.4652274795862,2067.0,6.517205635784194,2067.0,False,True,4.500000003305083,4.693047277995131,5.049343226746187,0.01556715493871537
5.5,4.5,1896.5968168159316,2067.0,6.836135790726985,2067.0,False,True,4.500000004024653,4.6926967461561855,5.048324618320752,0.015643762416785608
5.55,4.5,1892.6443942917545,2067.0,7.171301523238071,2067.0,False,True,4.500000001905744,4.692329927716067,5.047258805060582,0.015723812831383088
5.6,4.5,1888.6064141105567,2067.0,7.5235950206260895,2067.0,False,True,4.500000002654478,4.691946083692875,5.046143645205903,0.015807468292726966
5.65,4.5,1884.4813154809829,2067.0,7.893964500486618,2067.0,False,True,4.500000000259917,4.691544429951671,5.044976889955577,0.015894900126377315
5.7,4.5,1880.267523181751,2067.0,8.283418542850995,2067.0,False,True,4.500000002910562,4.691124162774714,5.043756208489561,0.015986289702215918
5.75,4.5,1875.9634481724454,2067.0,8.693030727416044,2067.0,False,True,4.5000000011624826,4.690684424398521,5.042479148769354,0.016081829161951566
5.8,4.5,1871.5674882519966,2067.0,9.123944854785805,2067.0,False,True,4.500000000427189,4.690224335306585,5.041143169589036,0.016181722442759457
5.85,4.5,1867.0780287666498,2067.0,9.577380586109939,2067.0,False,True,4.500000002393546,4.6897429734409695,5.039745615855976,0.01628618624072034
5.9,4.5,1862.4934433692736,2067.0,10.054639684167341,2067.0,False,True,4.4999999998255555,4.689239367272924,5.03828370863843,0.016395451131012113
5.95,4.5,1857.8120948318679,2067.0,10.557112986643915,2067.0,False,True,4.5000000025778055,4.688712521202839,5.036754569604395,0.016509762926803666
6.0,4.5,1853.032335913151,2067.0,11.086287963422365,2067.0,False,True,4.499999999625457,4.688161374546216,5.035155174607817,0.016629383969951315
6.05,4.5,1848.1525102831038,2067.0,11.643757311147056,2067.0,False,True,4.500000000373431,4.687584842688256,5.033482394774471,0.016754594864618153
6.1,4.5,1843.1709535063633,2067.0,12.231228306132834,2067.0,False,True,4.500000001164327,4.686981780635547,5.031732954867159,0.01688569614602624
6.15,4.5,1838.0859940863706,2067.0,12.85053336888086,2067.0,False,True,4.500000000536778,4.686350997066157,5.029903445388222,0.01702301034134203
6.2,4.5,1832.895954572142,2067.0,13.503641831484856,2067.0,False,True,4.499999999749187,4.685691253052851,5.027990318299452,0.017166884235813078
6.25,4.5,1827.5991527295575,2067.0,14.192673117126105,2067.0,False,True,4.500000000998551,4.6850012583575165,5.025989880121113,0.017317691424322195
6.3,4.5,1822.1939027790222,2067.0,14.91991153213894,2067.0,False,True,4.500000001128971,4.68427966302581,5.02389828002261,0.01747583518377168
6.35,4.5,1816.6785167013372,2067.0,15.687822993160808,2067.0,False,True,4.500000000197845,4.683525064313999,5.021711514156619,0.017641751795815258
6.4,4.5,1811.051305613611,2067.0,16.499073907281854,2067.0,False,True,4.500000001514549,4.68273600474703,5.01942542054393,0.017815914295512082
6.45,4.5,1805.3105812169474,2067.0,17.356552527708118,2067.0,False,True,4.4999999995509485,4.681910957622012,5.017035660673204,0.017998836701762454
6.5,4.5,1799.454657317676,2067.0,18.263393403816735,2067.0,False,True,4.500000000812048,4.681048346526717,5.014537737099535,0.01819107900831346
6.55,4.5,1793.4818514237759,2067.0,19.22300509121851,2067.0,False,True,4.500000000519969,4.680146519199081,5.01192696274881,0.018393252724164106
6.6,4.5,1787.390486418117,2067.0,20.239102115519927,2067.0,False,True,4.500000001036074,4.6792037644582525,5.009198475795419,0.018606027456416742
6.65,4.5,1781.1788923100419,2067.0,21.315741590748075,2067.0,False,True,4.500000000045658,4.678218297911879,5.006347221581238,0.01883013839048401
6.7,4.5,1774.8454080667648,2067.0,22.457365643029334,2067.0,False,True,4.500000000224379,4.677188269806664,5.003367957960262,0.01906639508943984
6.75,4.5,1768.3883835259273,2067.0,23.668850519898115,2067.0,False,True,4.500000000302751,4.676111753704303,5.00025524050284,0.019315691673099728
6.8,4.5,1761.8061813905827,2067.0,24.95556391935679,2067.0,False,True,4.500000000584901,4.674986750054054,4.997003423489757,0.01957901882675886
6.85,4.5,1755.097179307738,2067.0,26.32343207280792,2067.0,False,True,4.4999999997358255,4.673811180786846,4.993606651569823,0.019857477901279466
6.9,4.5,1748.25977203147,2067.0,27.77901877844124,2067.0,False,True,4.500000000193002,4.672582892796497,4.990058860882269,0.020152297653243046
6.95,4.5,1741.2923736714724,2067.0,29.329618834439316,2067.0,False,True,4.500000000164191,4.671299647672855,4.986353765929342,0.020464854093247144
7.0,4.5,1734.1934200277506,2067.0,30.98336938479042,2067.0,False,True,4.499999999880458,4.669959126123841,4.982484862040869,0.020796694327281796
7.050000000000001,4.5,1726.961371011992,2067.0,32.74938322220987,2067.0,False,True,4.499999999945703,4.668558924333032,4.978445419603007,0.021149565220451874
7.1,4.5,1719.594713155982,2067.0,34.63790951347619,2067.0,False,True,4.499999999895844,4.667096550611551,4.974228478865317,0.02152544814209018
7.15,4.5,1712.0919622071876,2067.0,36.660528998909285,2067.0,False,True,4.499999999950889,4.665569425407909,4.969826848543411,0.021926601397251996
7.2,4.5,1704.4516658114724,2067.0,38.83039279226796,2067.0,False,True,4.49999999980359,4.663974878387681,4.96523310169836,0.022355612389499624
7.25,4.5,1696.6724062826213,2067.0,41.16251699301938,2067.0,False,True,4.499999999908028,4.662310148192912,4.960439574776854,0.02281546231186475
7.300000000000001,4.5,1688.7528034581383,2067.0,43.67414930641826,2067.0,False,True,4.499999999881028,4.660572379396255,4.955438364158688,0.023309607037335853
7.35,4.5,1680.691517640497,2067.0,46.38522975925298,2067.0,False,True,4.499999999670444,4.658758622446019,4.950221326273356,0.023842079282701264
7.4,4.5,1672.4872526227375,2067.0,49.318975679401774,2067.0,False,True,4.4999999999399565,4.656865832995707,4.944780077586683,0.024417618951785056
7.45,4.5,1664.1387587970269,2067.0,52.50263293576427,2067.0,False,True,4.499999999568873,4.654890868515001,4.939105992361788,0.02504184130976878
7.5,4.5,1655.6448363444329,2067.0,55.96845306009345,2067.0,False,True,4.49999999990096,4.652830491998389,4.933190208346773,0.025721456787909484
7.550000000000001,4.5,1647.0043385038891,2067.0,59.75498146418249,2067.0,False,True,4.499999999840595,4.650681366637559,4.9270236238504586,0.02646456206864917
7.6,4.5,1638.2161749179045,2067.0,63.90878247188812,2067.0,False,True,4.499999999749313,4.64844005971448,4.920596905019826,0.02728103170944489
7.65,4.5,1629.2793150522516,2067.0,68.48678863384703,2067.0,False,True,4.499999999751841,4.646103041122694,4.913900488383423,0.028183053878076954
7.7,4.5,1620.1927916864563,2067.0,73.55956238227373,2067.0,False,True,4.499999999718618,4.643666683906401,4.906924586294341,0.029185877476503266
7.75,4.5,1610.9557044714952,2067.0,79.21592346322723,2067.0,False,True,4.499999999693867,4.641127265556353,4.899659193996812,0.030308876805141466
7.800000000000001,4.5,1601.5672235507043,2067.0,85.56967821939907,2067.0,False,True,4.499999999574282,4.638480968822174,4.892094097061231,0.03157710658219025
7.85,4.5,1592.026593239442,2067.0,92.76968790493265,2067.0,False,True,4.499999999668678,4.635723883597461,4.884218880727856,0.03302363863183171
7.9,4.5,1582.3331357586044,2067.0,101.01544018031564,2067.0,False,True,4.499999999661465,4.632852007203013,4.876022938347454,0.03469319124909226
